Date,Transaction Description,Amount,Balance
2024-01-05,SALARY DEPOSIT - ACME CORP,3500.00,3500.00
2024-01-06,TESCO SUPERMARKET DUBLIN,85.42,3414.58
2024-01-07,NETFLIX SUBSCRIPTION,15.99,3398.59
2024-01-08,STARBUCKS COFFEE O'CONNELL ST,4.50,3394.09
2024-01-10,ELECTRIC IRELAND BILL,120.00,3274.09
2024-01-12,CIRCLE K FUEL STATION,65.00,3209.09
2024-01-15,RENT PAYMENT - LANDLORD,1200.00,2009.09
2024-01-16,AMAZON.COM PURCHASE,45.99,1963.10
2024-01-18,UBER TRIP DUBLIN,12.50,1950.60
2024-01-20,SUPERVALU GROCERIES,72.30,1878.30
2024-01-22,SPOTIFY PREMIUM,9.99,1868.31
2024-01-25,THREE IRELAND MOBILE,35.00,1833.31
2024-01-28,DUNNES STORES CLOTHING,89.99,1743.32
2024-01-30,RESTAURANT - FADE ST SOCIAL,78.50,1664.82
2024-02-01,ATM WITHDRAWAL,100.00,1564.82
2024-02-05,SALARY DEPOSIT - ACME CORP,3500.00,5064.82
2024-02-06,LIDL SUPERMARKET,68.20,4996.62
2024-02-07,NETFLIX SUBSCRIPTION,15.99,4980.63
2024-02-08,COSTA COFFEE GRAFTON ST,5.20,4975.43
2024-02-10,ELECTRIC IRELAND BILL,115.50,4859.93
2024-02-12,TOPAZ FUEL STATION,70.00,4789.93
2024-02-15,RENT PAYMENT - LANDLORD,1200.00,3589.93
2024-02-17,BOOKING.COM HOTEL LONDON,245.00,3344.93
2024-02-18,RYANAIR FLIGHT DUBLIN-LONDON,89.99,3254.94
2024-02-20,ALDI GROCERIES,55.80,3199.14
2024-02-22,SPOTIFY PREMIUM,9.99,3189.15
2024-02-25,THREE IRELAND MOBILE,35.00,3154.15
2024-02-26,ZARA CLOTHING STORE,125.00,3029.15
2024-02-28,PIZZERIA - TEMPLATE BAR,45.00,2984.15
2024-03-01,GYM MEMBERSHIP - FLYEFIT,39.99,2944.16
2024-03-05,SALARY DEPOSIT - ACME CORP,3500.00,6444.16
2024-03-06,TESCO SUPERMARKET,92.15,6352.01
2024-03-07,NETFLIX SUBSCRIPTION,15.99,6336.02
2024-03-08,INSOMNIA COFFEE,4.80,6331.22
2024-03-10,ELECTRIC IRELAND BILL,130.00,6201.22
2024-03-11,APPLEGREEN FUEL,68.50,6132.72
2024-03-15,RENT PAYMENT - LANDLORD,1200.00,4932.72
2024-03-16,PHARMACY - BOOTS,28.50,4904.22
2024-03-18,UBER EATS DELIVERY,32.50,4871.72
2024-03-20,SUPERVALU GROCERIES,81.20,4790.52
2024-03-22,SPOTIFY PREMIUM,9.99,4780.53
2024-03-24,DUBLIN BUS LEAP CARD TOP-UP,50.00,4730.53
2024-03-25,THREE IRELAND MOBILE,35.00,4695.53
2024-03-26,PENNEYS CLOTHING,42.00,4653.53
2024-03-28,CINEMA - ODEON POINTSQUARE,24.00,4629.53
2024-03-30,PUB - THE TEMPLE BAR,65.00,4564.53
2024-04-01,GYM MEMBERSHIP - FLYEFIT,39.99,4524.54
2024-04-05,SALARY DEPOSIT - ACME CORP,3500.00,8024.54
2024-04-06,ALDI SUPERMARKET,73.80,7950.74
2024-04-07,NETFLIX SUBSCRIPTION,15.99,7934.75
2024-04-08,STARBUCKS,5.50,7929.25
2024-04-10,ELECTRIC IRELAND BILL,125.00,7804.25
